"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","56.692331132552475","51.34494702825182","0.007568359375","0.01416015625","0.0009765625","1560","0.0009500198942641241","0.0009500198942641241","0","0.0009500198942641241","0.0009500198942641241","0_1:0.01331165908415255","0_1:84","true"
"1","171.42702524939523","178.92850296474666","0.010986328125","0.0146484375","0.00732421875","1560","0.00022827479180244508","0.00022827479180244508","0","0.00022827479180244508","0.00022827479180244508","1_2:0.003225690847259044;1_0:0.01331165908415255","1_2:84;1_0:84","true"
"2","187.0075296301574","146.60889280982772","0.003173828125","0.00537109375","0.0009765625","1560","0.00014625605118558714","0.00014625605118558714","0","0.00014625605118558714","0.00014625605118558714","2_1:0.003225690847259044;2_3:0.0027497027014714015","2_1:84;2_3:84","true"
"3","191.78849838986505","165.5429270713035","0.012939453125","0.015625","0.01025390625","1560","0.0001524323740426618","0.0001524323740426618","0","0.0001524323740426618","0.0001524323740426618","3_16:0.004616869967309312;3_2:0.0027497027014714015;3_4:0.0027953679308491686","3_16:84;3_2:84;3_4:84","true"
"4","136.6123177462517","120.04129803248365","0.00341796875","0.005859375","0.0009765625","1560","0.0002442662950214516","0.0002442662950214516","0","0.0002442662950214516","0.0002442662950214516","4_3:0.0027953679308491686;4_5:0.0038219327599177677","4_3:84;4_5:84","true"
"5","86.43478303809279","105.19844235864225","0.00634765625","0.01025390625","0.00244140625","1560","0.0002728106353861123","0.0002728106353861123","0","0.0002728106353861123","0.0002728106353861123","5_6:0.014071449735200192;5_4:0.0038219327599177677","5_6:84;5_4:84","true"
"6","220.43658866242066","133.6847004400223","0.00439453125","0.0068359375","0.001953125","1560","0.0002343727324810591","0.0002343727324810591","0","0.0002343727324810591","0.0002343727324810591","6_5:0.014071449735200192;6_7:0.0037490370997815825","6_5:84;6_7:84","true"
"7","123.02637903260951","48.56358000744946","0.02197265625","0.0302734375","0.013671875","1560","0.0003334781428492216","0.0003334781428492216","0","0.0003334781428492216","0.0003334781428492216","7_17:0.004144463156866729;7_6:0.0037490370997815825;7_8:0.00450773878866817","7_17:84;7_6:84;7_8:84","true"
"8","148.52878308916246","32.43085526599713","0.004150390625","0.0068359375","0.00146484375","1560","0.0003366995370483657","0.0003366995370483657","0","0.0003366995370483657","0.0003366995370483657","8_9:0.0032979803377156114;8_7:0.00450773878866817","8_9:84;8_7:84","true"
"9","219.54187866388412","75.29832977745365","0.0107421875","0.01513671875","0.00634765625","1560","0.0001643881372065867","0.0001643881372065867","0","0.0001643881372065867","0.0001643881372065867","9_8:0.0032979803377156114;9_10:0.003003424412883593","9_8:84;9_10:84","true"
