"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","348.9579766904671","196.12510922897718","4.9410857840795","-0.3071224923742767","0.004150390625","0.005859375","0.00244140625","1112.888888888889","0.00014017915561134674","0","0.00014017915561134674","0.00014017915561134674","0_14:0.004565817834718544;0_1:0.004451209283233781","0_14:664.8888888888888;0_1:664.8888888888888","true"
"1","343.23556021330273","94.45905970453332","4.767340153412777","-0.3087940073441283","0.0048828125","0.00537109375","0.00439453125","1112.888888888889","0.00018974546156348636","0","0.00018974546156348636","0.00018974546156348636","","","true"
"2","167.12332211980439","22.083062699526998","4.829715484319423","-0.30918224679341666","0.005859375","0.00390625","0.0078125","1112.888888888889","0.0001831338081915937","0","0.0001831338081915937","0.0001831338081915937","2_1:0.005776095493037203","2_1:664.8888888888888","true"
"3","32.72863999398202","153.16285309423884","4.744951734016482","-0.31236647725356137","0.003662109375","0.00634765625","0.0009765625","1112.888888888889","0.00021653618360837417","0","0.00021653618360837417","0.00021653618360837417","3_2:0.005929190570604814;3_4:0.00852240124620851","3_2:664.8888888888888;3_4:664.8888888888888","true"
"4","205.83235361788206","11.147413318362094","4.866719148816722","-0.30809510464193834","0.01513671875","0.01806640625","0.01220703125","1112.888888888889","0.0002420411936422435","0","0.0002420411936422435","0.0002420411936422435","4_15:0.009067031902147416;4_5:0.007046109356019847","4_15:664.8888888888888;4_5:664.8888888888888","true"
"5","229.42507913394513","250.783735309183","4.78565488501233","-0.3105475082998897","0.006103515625","0.00830078125","0.00390625","1112.888888888889","0.00017362641750788316","0","0.00017362641750788316","0.00017362641750788316","5_6:0.008338451379245215","5_6:664.8888888888888","true"
"6","213.54261274941237","20.660141505354932","4.718324805182434","-0.30988716717282644","0.024658203125","0.0341796875","0.01513671875","1112.888888888889","0.005966219866225601","0","0.005966219866225601","0.005966219866225601","","","true"
"7","153.74346178909474","155.82959805678473","4.8552936280065975","-0.30853549451824164","0.006591796875","0.0078125","0.00537109375","1112.888888888889","0.00019782779166905304","0","0.00019782779166905304","0.00019782779166905304","7_6:0.007485948559671274;7_8:0.007131115931055143","7_6:664.8888888888888;7_8:664.8888888888888","true"
"8","305.24680653292864","125.75507231639025","4.7777506777428815","-0.3096642996560341","0.030517578125","0.0048828125","0.05615234375","1112.888888888889","0.0002793318267317309","0","0.0002793318267317309","0.0002793318267317309","8_9:0.005625011923300283","8_9:664.8888888888888","true"
"9","557.0215729157437","159.43349202853804","4.573022607225947","-0.312497510688557","0.0283203125","0.02587890625","0.03076171875","1112.888888888889","0.00010054020243461201","0","0.00010054020243461201","0.00010054020243461201","","","true"
"10","211.74624705472925","179.76829227793726","4.659344417253263","-0.3119403116502601","0.0283203125","0.00537109375","0.05126953125","1112.888888888889","0.0002367970573326509","0","0.0002367970573326509","0.0002367970573326509","10_9:0.007993183412570437;10_11:0.008961902060911187","10_9:664.8888888888888;10_11:664.8888888888888","true"
"11","295.8706563570044","171.0172999323689","4.589034106653178","-0.28549382802049705","0.028564453125","0.0283203125","0.02880859375","1112.888888888889","0.00020976163988845563","0","0.00020976163988845563","0.00020976163988845563","","","true"
"12","492.50423735294487","115.23772081528801","4.544909856224629","-0.3153766012770977","0.0205078125","0.0166015625","0.0244140625","1112.888888888889","0.000330681990491745","0","0.000330681990491745","0.000330681990491745","12_11:0.007025675425587963","12_11:664.8888888888888","true"
"13","268.25702849848494","111.29134195144728","4.61644027828439","-0.3115494396921699","0.009033203125","0.01220703125","0.005859375","1112.888888888889","0.00012271374402736678","0","0.00012271374402736678","0.00012271374402736678","13_12:0.005803914618979056","13_12:664.8888888888888","true"
"14","228.2504266594976","293.7426444962591","4.847414210864941","-0.307817528125657","0.007080078125","0.005859375","0.00830078125","1112.888888888889","0.00015278213624589642","0","0.00015278213624589642","0.00015278213624589642","","","true"
"15","264.379787492237","53.17867624113852","4.805190208338852","-0.2752811052842956","0.10107421875","0.06201171875","0.14013671875","1112.888888888889","0.0005064583636094723","0","0.0005064583636094723","0.0005064583636094723","","","true"
"16","373.2895653062551","58.29261385433636","4.874750787310218","-0.30802239449549323","0.024658203125","0.0224609375","0.02685546875","1112.888888888889","0.0002898870819798377","0","0.0002898870819798377","0.0002898870819798377","16_8:0.01568719463149021","16_8:664.8888888888888","true"
"17","497.2409874415373","226.2347441248473","4.670365368029191","-0.3121295591812491","0.04345703125","0.0400390625","0.046875","1112.888888888889","0.0002524811977294288","0","0.0002524811977294288","0.0002524811977294288","17_12:0.007047726576605962;17_30:0.008662513228851587","17_12:664.8888888888888;17_30:664.8888888888888","true"
"18","435.63377039907516","244.5744166718091","4.888774509642125","-0.3083072492797884","0.00732421875","0.00927734375","0.00537109375","1112.888888888889","0.00024150728492872668","0","0.00024150728492872668","0.00024150728492872668","18_14:0.007437411170070574","18_14:664.8888888888888","true"
"19","209.51946129047872","16.78536089800086","4.813427299337779","-0.30873609678108616","0.007568359375","0.01220703125","0.0029296875","1112.888888888889","0.00033334872051546816","0","0.00033334872051546816","0.00033334872051546816","19_18:0.033028258698594715","19_18:664.8888888888888","true"
"20","415.22348036036897","276.2116211968144","4.653610838969977","-0.3119365005854154","0.0107421875","0.00927734375","0.01220703125","1112.888888888889","0.0001731069175097348","0","0.0001731069175097348","0.0001731069175097348","20_19:0.007500388291501625;20_21:0.026364918624165012","20_19:664.8888888888888;20_21:664.8888888888888","true"
"21","255.30337298475777","79.0584677288111","4.785326407533253","","0.048583984375","0.021484375","0.07568359375","1112.888888888889","0.0007706623365817061","0","0.0007706623365817061","0.0007706623365817061","21_22:0.0184612525979293","21_22:664.8888888888888","true"
"22","289.25241306426864","155.78642236960303","4.837337531116601","-0.30925453268853004","0.06591796875","0.07421875","0.0576171875","1112.888888888889","0.002384959791604405","0","0.002384959791604405","0.002384959791604405","22_15:0.01912968351377109","22_15:664.8888888888888","true"
"23","324.9950579309601","282.39649352046115","4.763371945937083","-0.3093518780426528","0.006103515625","0.00439453125","0.0078125","1112.888888888889","0.00011822814532767567","0","0.00011822814532767567","0.00011822814532767567","23_22:0.013315638758297998;23_24:0.0050853081741358275","23_22:664.8888888888888;23_24:664.8888888888888","true"
"24","293.8640577864657","54.371708602634435","4.6887683767045285","-0.3103894657922276","0.01513671875","0.01025390625","0.02001953125","1112.888888888889","0.0001584803446784655","0","0.0001584803446784655","0.0001584803446784655","24_25:0.007569105347388194","24_25:664.8888888888888","true"
"25","163.1237342318492","223.32751748676444","4.912980867889818","-0.3077554695460178","0.009521484375","0.00927734375","0.009765625","1112.888888888889","0.0002331529871617609","0","0.0002331529871617609","0.0002331529871617609","25_26:0.006648742021710563","25_26:664.8888888888888","true"
"26","346.4014221155613","229.724254702878","4.782334789080068","","0.006103515625","0.0087890625","0.00341796875","1112.888888888889","0.0002882109515441069","0","0.0002882109515441069","0.0002882109515441069","26_16:0.015498012695248864","26_16:664.8888888888888","true"
"27","245.580336840048","23.502386931262357","4.969843553100995","-0.3063944119801059","0.01171875","0.0107421875","0.0126953125","1112.888888888889","0.0008444203837378876","0","0.0008444203837378876","0.0008444203837378876","27_26:0.02091297660729119;27_28:0.021381750533392807","27_26:664.8888888888888;27_28:664.8888888888888","true"
"28","192.10747686291464","193.658189362005","4.750024993220008","-0.31093227429824444","0.01318359375","0.0107421875","0.015625","1112.888888888889","0.00019124446482428104","0","0.00019124446482428104","0.00019124446482428104","28_35:0.006722223607937339","28_35:664.8888888888888","true"
"29","265.08164640145736","232.04905629182107","4.807812432895187","-0.30878513581173844","0.00732421875","0.005859375","0.0087890625","1112.888888888889","0.00011003553140207797","0","0.00011003553140207797","0.00011003553140207797","29_28:0.004981888504472343","29_28:664.8888888888888","true"
"30","231.3625283220971","100.80230718981709","4.63080489402418","-0.2966923631620845","0.150390625","0.15478515625","0.14599609375","1112.888888888889","0.0005406030765135918","0","0.0005406030765135918","0.0005406030765135918","30_29:0.015296105812061145","30_29:664.8888888888888","true"
"31","491.8007669684878","282.07453392368353","4.691186538893155","-0.31180994258040834","0.01611328125","0.00927734375","0.02294921875","1112.888888888889","0.00010225916740400473","0","0.00010225916740400473","0.00010225916740400473","31_30:0.00851637188069665;31_32:0.004127290111209714","31_30:664.8888888888888;31_32:664.8888888888888","true"
"32","397.00983992746865","303.4206510822337","4.753575868250472","-0.31019005206698447","0.008056640625","0.0068359375","0.00927734375","1112.888888888889","0.0001727199768237082","0","0.0001727199768237082","0.0001727199768237082","","","true"
"33","347.3753691836675","173.59552106597275","4.918346094989351","-0.30713100799364834","0.012451171875","0.00732421875","0.017578125","1112.888888888889","0.0001650714196954921","0","0.0001650714196954921","0.0001650714196954921","33_20:0.007764449190699796;33_39:0.005916252939635547","33_20:664.8888888888888;33_39:664.8888888888888","true"
"34","149.3413540730925","168.66733126707402","4.93816791914477","-0.30704200709033247","0.0234375","0.0087890625","0.0380859375","1112.888888888889","0.00043285055576245546","0","0.00043285055576245546","0.00043285055576245546","34_24:0.015227744772884577","34_24:664.8888888888888","true"
"35","128.96693002332896","69.35587237299873","4.705537981987944","","0.0244140625","0.013671875","0.03515625","1112.888888888889","0.00026191968609179443","0","0.00026191968609179443","0.00026191968609179443","","","true"
"36","253.70590035010812","332.8986660506725","4.920791896941221","-0.306850238742536","0.01220703125","0.0166015625","0.0078125","1112.888888888889","0.00022093732431982668","0","0.00022093732431982668","0.00022093732431982668","36_51:0.006754669789486578;36_32:0.008803138183626102","36_51:664.8888888888888;36_32:664.8888888888888","true"
"37","214.054219145778","28.870212835736165","4.951546497478375","","0.005126953125","0.005859375","0.00439453125","1112.888888888889","0.00020244829142563854","0","0.00020244829142563854","0.00020244829142563854","37_52:0.005100497295934536","37_52:664.8888888888888","true"
"38","169.28324257053637","131.3053838939796","4.894887958214579","-0.3076117904779178","0.006103515625","0.00732421875","0.0048828125","1112.888888888889","0.00020263200120025813","0","0.00020263200120025813","0.00020263200120025813","38_37:0.006064956814124944","38_37:664.8888888888888","true"
"39","361.3782459496327","194.95273738166958","4.805359129268779","-0.30976705097197654","0.020263671875","0.01318359375","0.02734375","1112.888888888889","0.00011741385822404306","0","0.00011741385822404306","0.00011741385822404306","39_38:0.005531269879121725","39_38:664.8888888888888","true"
"40","311.28445558212536","73.06301503755823","4.652309611377678","-0.3116412786595027","0.00830078125","0.00634765625","0.01025390625","1112.888888888889","0.0005582692195448705","0","0.0005582692195448705","0.0005582692195448705","40_39:0.00484315528152468","40_39:664.8888888888888","true"
