"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","213.9359114739326","108.40088977147673","4.635662846425661","-0.3132760394092362","0.01171875","0.01171875","0.01171875","1216","0.0006669205144673333","0","0.0006669205144673333","0.0006669205144673333","","","true"
"1","345.57925792654805","342.1926162701377","4.736296869971339","-0.3129180725120383","0.0263671875","0.029296875","0.0234375","1216","0.00012216439574808306","0","0.00012216439574808306","0.00012216439574808306","1_0:0.008441303552007395;1_2:0.005435001620302138","1_0:533.3333333333333;1_2:533.3333333333333","true"
"2","279.3149167507507","248.67577674362136","4.819178499281037","-0.3112951524093254","0.01806640625","0.01416015625","0.02197265625","1216","0.0001094689465328374","0","0.0001094689465328374","0.0001094689465328374","","","true"
"3","371.6560815777165","350.4264375663123","4.747182082348841","-0.3111534699659636","0.01513671875","0.015625","0.0146484375","1216","0.000159601877976619","0","0.000159601877976619","0.000159601877976619","3_2:0.005029022305102493","3_2:533.3333333333333","true"
"4","307.4050519751437","192.44484206910215","4.787874618691494","-0.31094540176555985","0.02734375","0.02490234375","0.02978515625","1216","0.00018274750116023254","0","0.00018274750116023254","0.00018274750116023254","4_15:0.004797244751539587;4_3:0.004506406957112796","4_15:533.3333333333333;4_3:533.3333333333333","true"
"5","172.75909991425792","78.91898308667757","4.850837438806149","-0.31056606217183785","0.054931640625","0.033203125","0.07666015625","1216","0.0008688729537230527","0","0.0008688729537230527","0.0008688729537230527","5_4:0.0072181424692538965","5_4:533.3333333333333","true"
"6","237.40349651795418","44.44146850625187","4.8995542684000535","-0.3090557835234433","0.25244140625","0.02490234375","0.47998046875","1216","0.0008037324209928146","0","0.0008037324209928146","0.0008037324209928146","6_5:1","6_5:533.3333333333333","true"
"7","249.0332482722411","19.315123749646627","4.755815106931748","-0.31100390518358323","0.05224609375","0.02783203125","0.07666015625","1216","0.000877399180894333","0","0.000877399180894333","0.000877399180894333","7_6:1;7_8:0.017220144586799546","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","394.1651058571488","17.282471331162924","4.812595340291288","-0.31334511346081884","0.0732421875","0.07568359375","0.07080078125","1216","0.0005850872553505538","0","0.0005850872553505538","0.0005850872553505538","8_9:1","8_9:533.3333333333333","true"
"9","291.84655218305363","56.346802819290396","4.637690153579175","-0.29264088813258476","0.165771484375","0.0068359375","0.32470703125","1216","0.00026195042725953553","0","0.00026195042725953553","0.00026195042725953553","","","true"
