"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","224.08727568067368","314.59617988981444","0.157470703125","0.1279296875","0.18701171875","1560","0.00034183180551021047","0.00034183180551021047","0","0.00034183180551021047","0.00034183180551021047","0_15:0.0022453391148675172;0_1:0.002669792565371254","0_15:1;0_1:1","0_15:68;0_1:68","true"
"1","251.5984615162979","219.80160232423134","0.01953125","0.0166015625","0.0224609375","1560","0.00022337653505320355","0.00022337653505320355","0","0.00022337653505320355","0.00022337653505320355","1_2:0.004491050834227572;1_0:0.002669792565371254","1_2:1;1_0:1","1_2:68;1_0:68","true"
"2","170.39288579492654","109.97621482756702","0.0380859375","0.05322265625","0.02294921875","1560","0.0002678561673653417","0.0002678561673653417","0","0.0002678561673653417","0.0002678561673653417","2_1:0.004491050834227572;2_3:0.002841807255980322","2_1:1;2_3:1","2_1:68;2_3:68","true"
"3","294.9073911841454","213.82169633192464","0.015625","0.0205078125","0.0107421875","1560","0.000229978807945751","0.000229978807945751","0","0.000229978807945751","0.000229978807945751","3_2:0.002841807255980322;3_4:0.003064629870589919","3_2:1;3_4:1","3_2:68;3_4:68","true"
"4","155.89025123004086","198.06816451131198","0.05078125","0.04833984375","0.05322265625","1560","0.00027246766098144046","0.00027246766098144046","0","0.00027246766098144046","0.00027246766098144046","4_3:0.003064629870589919;4_5:0.0035955481654687538;4_16:0.0023803036759057483","4_3:1;4_5:1;4_16:1","4_3:68;4_5:68;4_16:80","true"
"5","152.30732347520802","173.7925400524466","0.00830078125","0.01025390625","0.00634765625","1560","0.0003378170145726997","0.0003378170145726997","0","0.0003378170145726997","0.0003378170145726997","5_6:0.0028924117444054653;5_4:0.0035955481654687538","5_6:1;5_4:1","5_6:68;5_4:68","true"
"6","44.68405232280241","71.86972585643079","0.018798828125","0.03173828125","0.005859375","1560","0.00047819939059747554","0.00047819939059747554","0","0.00047819939059747554","0.00047819939059747554","6_5:0.0028924117444054653;6_7:0.00506086488221924","6_5:1;6_7:1","6_5:68;6_7:68","true"
"7","249.40889039632796","186.1105454409783","0.016357421875","0.015625","0.01708984375","1560","0.0010448439020050173","0.0010448439020050173","0","0.0010448439020050173","0.0010448439020050173","7_6:0.00506086488221924;7_8:0.004311083330762244","7_6:1;7_8:1","7_6:68;7_8:68","true"
"8","232.19429792690173","201.07249126639954","0.041748046875","0.041015625","0.04248046875","1560","0.0002626256856031038","0.0002626256856031038","0","0.0002626256856031038","0.0002626256856031038","8_9:0.0031979602303503496;8_17:0.01446401123441382;8_7:0.004311083330762244","8_9:1;8_17:1;8_7:1","8_9:68;8_17:108;8_7:68","true"
"9","87.42333166153628","93.0310256569183","0.022705078125","0.0224609375","0.02294921875","1560","0.0002683205405261114","0.0002683205405261114","0","0.0002683205405261114","0.0002683205405261114","9_8:0.0031979602303503496;9_10:0.003715581893402098","9_8:1;9_10:1","9_8:68;9_10:68","true"
"10","200.7961060054563","201.39080309351644","0.040771484375","0.00927734375","0.072265625","1560","0.00024108327122530012","0.00024108327122530012","0","0.00024108327122530012","0.00024108327122530012","10_9:0.003715581893402098;10_11:0.0037163966038087914","10_9:1;10_11:1","10_9:68;10_11:68","true"
"11","58.60701727781583","84.33328250995912","0.010498046875","0.0146484375","0.00634765625","1560","0.0004419365158759876","0.0004419365158759876","0","0.0004419365158759876","0.0004419365158759876","11_10:0.0037163966038087914;11_12:0.003110996297455093","11_10:1;11_12:1","11_10:68;11_12:68","true"
"12","187.6076537937606","195.75024782404662","0.127685546875","0.0810546875","0.17431640625","1560","0.00024017449712272553","0.00024017449712272553","0","0.00024017449712272553","0.00024017449712272553","12_18:0.00288613365924717;12_13:0.004611378571235614;12_11:0.003110996297455093","12_18:1;12_13:1;12_11:1","12_18:68;12_13:68;12_11:68","true"
"13","161.80665212214342","176.84053063430483","0.015869140625","0.0224609375","0.00927734375","1560","0.0002158465337732621","0.0002158465337732621","0","0.0002158465337732621","0.0002158465337732621","13_12:0.004611378571235614;13_14:0.0058000359968543025","13_12:1;13_14:1","13_12:68;13_14:68","true"
"14","86.2006363292249","156.00943365380627","0.02880859375","0.0185546875","0.0390625","1560","0.00031430456475966715","0.00031430456475966715","0","0.00031430456475966715","0.00031430456475966715","14_13:0.0058000359968543025","14_13:1","14_13:68","true"
"15","192.01368789376272","37.36606220315072","0.016357421875","0.03125","0.00146484375","1560","0.00016635076392538332","0.00016635076392538332","0","0.00016635076392538332","0.00016635076392538332","15_0:0.0022453391148675172;15_19:0.0046599698413412605","15_0:1;15_19:1","15_0:68;15_19:80","true"
"16","158.30092989798376","181.2134722031315","0.021484375","0.02392578125","0.01904296875","1560","0.00021001281900654727","0.00021001281900654727","0","0.00021001281900654727","0.00021001281900654727","16_23:0.0032444626780359087;16_4:0.0023803036759057483","16_23:0.004388992618368059;16_4:1","16_23:184;16_4:80","true"
"17","155.70704393331096","76.91513329857128","0.0185546875","0.029296875","0.0078125","1560","0.003671929601562494","0.003671929601562494","0","0.003671929601562494","0.003671929601562494","17_27:0.01324302381968906;17_8:0.01446401123441382","17_27:0.011108272695859872;17_8:1","17_27:160;17_8:108","true"
"18","256.99241064389867","223.36912259129346","0.008056640625","0.0068359375","0.00927734375","1560","0.0002321492351417732","0.0002321492351417732","0","0.0002321492351417732","0.0002321492351417732","18_12:0.00288613365924717;18_31:0.0021453682171713173","18_12:1;18_31:0.003276426118961534","18_12:68;18_31:68","true"
"19","141.76878738743076","36.49206902215896","0.267333984375","0.173828125","0.36083984375","1560","0.0006299885304938623","0.0006299885304938623","0","0.0006299885304938623","0.0006299885304938623","19_20:0.01024320736672013;19_15:0.0046599698413412605","19_20:1;19_15:1","19_20:108;19_15:80","true"
"20","228.70314297876072","124.35797784138367","0.009033203125","0.0087890625","0.00927734375","1560","0.0004105209962847186","0.0004105209962847186","0","0.0004105209962847186","0.0004105209962847186","20_19:0.01024320736672013;20_21:0.05327589305377134","20_19:1;20_21:1","20_19:108;20_21:68","true"
"21","73.67835395501064","23.788979843878714","0.09375","0.0400390625","0.1474609375","1560","0.002227053252394804","0.002227053252394804","0","0.002227053252394804","0.002227053252394804","21_34:0.04146133170591232;21_20:0.05327589305377134;21_22:0.038986407855233496","21_34:1;21_20:1;21_22:1","21_34:68;21_20:68;21_22:68","true"
