"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","63.74040110910613","4.721906321977787","-0.31197865973435573","0.031982421875","0.021484375","0.04248046875","1300","0.00015185404710916115","0","0.00015185404710916115","0.00015185404710916115","","","true"
"1","336.39913815951826","269.50701457088525","4.815131622604556","-0.3097440319777085","0.023681640625","0.01611328125","0.03125","1300","0.0001606733757775916","0","0.0001606733757775916","0.0001606733757775916","1_0:0.004644797890613672","1_0:660","true"
"2","276.0570468768195","228.43041428580935","4.60966206046701","-0.3090875180776862","0.0068359375","0.0087890625","0.0048828125","1300","0.0005564453650613766","0","0.0005564453650613766","0.0005564453650613766","2_1:0.005494452319939724","2_1:660","true"
"3","277.70924892511994","554.6849365246719","4.8755436962334056","-0.30968652168552707","0.022705078125","0.01025390625","0.03515625","1300","0.0001209528058421106","0","0.0001209528058421106","0.0001209528058421106","3_2:0.00785668389731592","3_2:660","true"
"4","308.2974957697327","377.9702180886249","4.818188872015786","-0.3103713081153928","0.015869140625","0.01416015625","0.017578125","1300","0.00033291371655800526","0","0.00033291371655800526","0.00033291371655800526","4_15:0.008747587854645078;4_3:0.0046346094519117975;4_5:0.004604063179066198","4_15:660;4_3:660;4_5:660","true"
"5","187.75542228271394","260.6551523675185","4.734137014326624","-0.3114518235315779","0.007080078125","0.0068359375","0.00732421875","1300","0.00017378317710459314","0","0.00017378317710459314","0.00017378317710459314","","","true"
"6","136.7297025180688","77.05926491078613","4.876258044094451","-0.30918835047116894","0.010498046875","0.0126953125","0.00830078125","1300","0.00026939752101287097","0","0.00026939752101287097","0.00026939752101287097","6_5:0.005291041187531487;6_7:0.00604411439786029","6_5:660;6_7:660","true"
"7","263.49909511859454","264.42077421514716","4.96750612474814","-0.30745739300983294","0.01806640625","0.01318359375","0.02294921875","1300","0.0001623685150477251","0","0.0001623685150477251","0.0001623685150477251","7_8:0.0057600383205684835","7_8:660","true"
"8","305.29628127704785","205.7060589420625","4.902359905592582","-0.30837827664687645","0.01416015625","0.01513671875","0.01318359375","1300","0.00024795237222469005","0","0.00024795237222469005","0.00024795237222469005","8_9:0.0069993012678461475","8_9:660","true"
"9","414.1096102495331","223.72606799623364","4.987232624245945","-0.3080310587566364","0.01171875","0.0078125","0.015625","1300","0.00015104520455386965","0","0.00015104520455386965","0.00015104520455386965","","","true"
"10","99.90266740497945","127.64604919655454","4.831531679076333","-0.3097434424405673","0.026611328125","0.01806640625","0.03515625","1300","0.00025886956991887246","0","0.00025886956991887246","0.00025886956991887246","10_9:0.01308215619567693;10_11:0.025501749255954664","10_9:660;10_11:660","true"
"11","278.7250538719652","412.1670607992056","4.972437785311752","-0.307214316560019","0.09619140625","0.14990234375","0.04248046875","1300","0.00419109607169515","0","0.00419109607169515","0.00419109607169515","11_12:0.019895941470889744","11_12:660","true"
"12","287.0031192826873","191.32584919542103","4.936317674717237","-0.3079608272575031","0.014892578125","0.0078125","0.02197265625","1300","0.0008860584042536861","0","0.0008860584042536861","0.0008860584042536861","12_17:0.02378494190765912","12_17:660","true"
"13","343.2268882966285","130.128733115639","5.005802716628058","-0.3067650398842775","0.015380859375","0.01123046875","0.01953125","1300","0.0005152365463691073","0","0.0005152365463691073","0.0005152365463691073","13_12:0.00614762376346184","13_12:660","true"
"14","331.1640889441344","117.84937428148602","4.9033428539245065","-0.308419961199297","0.017822265625","0.0185546875","0.01708984375","1300","0.00017899746138623254","0","0.00017899746138623254","0.00017899746138623254","14_0:0.005768193906121488;14_18:0.005212245951214722","14_0:660;14_18:660","true"
"15","130.35717229041242","41.7707078142427","4.947908258074676","-0.308052427832017","0.013427734375","0.01611328125","0.0107421875","1300","0.0003148715245251226","0","0.0003148715245251226","0.0003148715245251226","15_22:0.008262117730691576","15_22:660","true"
"16","258.95278698743584","14.664720696945045","4.960337015344643","-0.3076594514774509","0.015625","0.01220703125","0.01904296875","1300","0.0002825941246366432","0","0.0002825941246366432","0.0002825941246366432","16_8:0.005552601792274625;16_26:0.006439421257161793","16_8:660;16_26:660","true"
"17","332.391584530789","377.96656737989576","4.820811870855951","-0.30970435909943395","0.0068359375","0.01025390625","0.00341796875","1300","0.0009358945675584491","0","0.0009358945675584491","0.0009358945675584491","17_30:0.010440958777829468","17_30:660","true"
"18","312.0653199180843","100.35718266578112","4.788130095143941","-0.31063598977187784","0.011962890625","0.01318359375","0.0107421875","1300","0.00013756012898742011","0","0.00013756012898742011","0.00013756012898742011","18_19:0.004665228504610763","18_19:660","true"
"19","306.9945348728645","113.41720280856894","4.7470158966227265","-0.31072395279331844","0.01611328125","0.01806640625","0.01416015625","1300","0.0003091533030109785","0","0.0003091533030109785","0.0003091533030109785","","","true"
"20","323.294291914732","343.77574172556854","4.862349796478957","-0.3090978906556921","0.02734375","0.0126953125","0.0419921875","1300","0.0003293776922760802","0","0.0003293776922760802","0.0003293776922760802","20_33:0.02628824170082278;20_19:0.0039361302495005135","20_33:660;20_19:660","true"
"21","228.0313093637808","124.20746500596928","4.966498354994261","-0.30694839478531033","0.01318359375","0.0087890625","0.017578125","1300","0.00018916232632071968","0","0.00018916232632071968","0.00018916232632071968","21_20:0.006148535053762283;21_22:0.004761587737792394","21_20:660;21_22:660","true"
