"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","406.1424026749727","178.03185384580993","4.897867678873869","-0.30830037970047425","0.01123046875","0.00927734375","0.01318359375","1500","0.0010235555118328602","0","0.0010235555118328602","0.0010235555118328602","0_1:0.004722056601717484","0_1:660","true"
"1","468.08983906111473","518.9886748685395","4.83796375137978","","0.013916015625","0.013671875","0.01416015625","1500","0.00009991533142552577","0","0.00009991533142552577","0.00009991533142552577","1_2:0.004883012089294592","1_2:660","true"
"2","324.1188715660005","416.7630268763493","4.654324388242479","-0.3118878799709304","0.0166015625","0.02099609375","0.01220703125","1500","0.00019615288602675866","0","0.00019615288602675866","0.00019615288602675866","2_3:0.008673713295170082","2_3:660","true"
"3","347.5992133710155","377.25309318801504","4.856061555504949","-0.30925864887979854","0.007568359375","0.00634765625","0.0087890625","1500","0.00012584053635866134","0","0.00012584053635866134","0.00012584053635866134","","","true"
"4","414.13215543883825","223.2488917803062","4.909546456125652","-0.30814930861447104","0.010009765625","0.0087890625","0.01123046875","1500","0.000226502975851688","0","0.000226502975851688","0.000226502975851688","4_15:0.008429219190009607;4_3:0.00462923272250193","4_15:660;4_3:660","true"
"5","154.58241379810676","142.9555583099643","4.818255856154321","-0.30958565804365407","0.01123046875","0.00830078125","0.01416015625","1500","0.00021819635280494526","0","0.00021819635280494526","0.00021819635280494526","5_4:0.006935712024509821;5_6:0.005411544878469565","5_4:660;5_6:660","true"
"6","301.09424260684284","91.10476143845275","4.75783736327771","-0.30931899513970895","0.059326171875","0.029296875","0.08935546875","1500","0.0006200147573005177","0","0.0006200147573005177","0.0006200147573005177","6_7:0.010608445828474145","6_7:660","true"
"7","368.2850793372625","50.15963833406063","4.531989526438971","-0.3153085977514802","0.021728515625","0.02099609375","0.0224609375","1500","0.00025381736761112187","0","0.00025381736761112187","0.00025381736761112187","","","true"
"8","425.64401384733765","58.80416645208698","4.770055883231285","-0.3107240604358965","0.0205078125","0.01220703125","0.02880859375","1500","0.0002747572492201213","0","0.0002747572492201213","0.0002747572492201213","8_9:0.005643605001631635;8_7:0.006757241570425843","8_9:660;8_7:660","true"
"9","482.95805948757","238.506546291214","4.862351107955083","-0.3088384973978332","0.007080078125","0.005859375","0.00830078125","1500","0.00012987670376327613","0","0.00012987670376327613","0.00012987670376327613","","","true"
"10","243.53953541485564","306.37434767181753","4.77495459686775","-0.3102561917352623","0.0068359375","0.005859375","0.0078125","1500","0.00021776486287781644","0","0.00021776486287781644","0.00021776486287781644","10_9:0.007974975646160398","10_9:660","true"
"11","425.94427794969073","117.29435711604143","4.669768842262329","-0.31065439833944936","0.006591796875","0.00634765625","0.0068359375","1500","0.00009669347970413003","0","0.00009669347970413003","0.00009669347970413003","11_10:0.006523709191834259;11_12:0.013697007534743566","11_10:660;11_12:660","true"
"12","340.95338557007744","27.301712936869034","4.578201723895767","-0.3092994184637879","0.021728515625","0.02197265625","0.021484375","1500","0.0004409849495449464","0","0.0004409849495449464","0.0004409849495449464","12_17:0.021074310887123915","12_17:660","true"
