"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","67.13807190650874","54.63388463782621","0.00830078125","0.01513671875","0.00146484375","1560","0.0011240021442708087","0.0011240021442708087","0","0.0011240021442708087","0.0011240021442708087","0_1:0.015406918990779561","0_1:0.009109182076633887","0_1:84","true"
"1","208.21866532493414","275.45742482777166","0.010986328125","0.01123046875","0.0107421875","1560","0.0003769772938979846","0.0003769772938979846","0","0.0003769772938979846","0.0003769772938979846","1_2:0.003655261735152626;1_0:0.015406918990779561","1_2:1;1_0:0.009109182076633887","1_2:84;1_0:84","true"
"2","302.24358652665256","158.26074178662702","0.006103515625","0.00927734375","0.0029296875","1560","0.00019372932851549659","0.00019372932851549659","0","0.00019372932851549659","0.00019372932851549659","2_1:0.003655261735152626;2_3:0.002437917912094467","2_1:1;2_3:0.003199516994719903","2_1:84;2_3:84","true"
"3","236.55069768335255","222.76519295894477","0.008056640625","0.00830078125","0.0078125","1560","0.00020716654445742438","0.00020716654445742438","0","0.00020716654445742438","0.00020716654445742438","3_16:0.0032789888827248204;3_2:0.002437917912094467;3_4:0.006023823550699858","3_16:0.005162221644706477;3_2:0.003199516994719903;3_4:0.01321352838989498","3_16:84;3_2:84;3_4:84","true"
"4","173.98709164074097","139.3900720814197","0.00439453125","0.00634765625","0.00244140625","1560","0.0004889805394208581","0.0004889805394208581","0","0.0004889805394208581","0.0004889805394208581","4_3:0.006023823550699858;4_5:0.0027254188611083863","4_3:0.01321352838989498;4_5:0.003011281644598518","4_3:84;4_5:84","true"
"5","171.76684300652133","160.0553052792583","0.00830078125","0.01123046875","0.00537109375","1560","0.0003772668762919049","0.0003772668762919049","0","0.0003772668762919049","0.0003772668762919049","5_6:0.0038681962183789165;5_4:0.0027254188611083863","5_6:1;5_4:0.003011281644598518","5_6:84;5_4:84","true"
"6","229.34914703907822","153.79203437355966","0.008544921875","0.01220703125","0.0048828125","1560","0.00022352644174736792","0.00022352644174736792","0","0.00022352644174736792","0.00022352644174736792","6_5:0.0038681962183789165;6_7:0.004218022560515067","6_5:1;6_7:0.004914337598218577","6_5:84;6_7:84","true"
"7","71.18052612781422","42.077213531865425","0.0234375","0.03662109375","0.01025390625","1560","0.0003705331055538662","0.0003705331055538662","0","0.0003705331055538662","0.0003705331055538662","7_17:0.005532214474813335;7_6:0.004218022560515067;7_8:0.00394937280818225","7_17:0.005169351090597463;7_6:0.004914337598218577;7_8:0.005461677731602166","7_17:84;7_6:84;7_8:84","true"
"8","157.66094535621025","44.43699460148123","0.00341796875","0.005859375","0.0009765625","1560","0.00029435201882278974","0.00029435201882278974","0","0.00029435201882278974","0.00029435201882278974","8_9:0.0029421565585123766;8_7:0.00394937280818225","8_9:0.002745197624467677;8_7:0.005461677731602166","8_9:84;8_7:84","true"
"9","183.033174757772","27.42326647608057","0.010009765625","0.01611328125","0.00390625","1560","0.00036443428141407793","0.00036443428141407793","0","0.00036443428141407793","0.00036443428141407793","9_8:0.0029421565585123766;9_10:0.002747574097502703","9_8:0.002745197624467677;9_10:1","9_8:84;9_10:84","true"
