"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","111.51680967629112","145.1321518961976","5.243380994775997","-0.20640003780600244","0.031494140625","0.0244140625","0.03857421875","1112.888888888889","0.00031786159160036176","0","0.00031786159160036176","0.00031786159160036176","0_14:0.007535903916932485;0_1:0.055135177785446965","0_14:586.6666666666666;0_1:586.6666666666666","true"
"1","118.96350450491082","155.2728843927193","5.189776490456504","-0.3035374525792092","0.033203125","0.05078125","0.015625","1112.888888888889","0.006082386061213739","0","0.006082386061213739","0.006082386061213739","1_2:0.025332209887644674","1_2:586.6666666666666","true"
"2","237.64366523822437","366.7428576916219","5.081327770080646","-0.30547207120472913","0.009033203125","0.00732421875","0.0107421875","1112.888888888889","0.00015886425525240067","0","0.00015886425525240067","0.00015886425525240067","2_3:0.00548444034421125","2_3:586.6666666666666","true"
"3","136.68551973616235","103.90074462791893","5.0003807205634025","-0.30653521639884634","0.013671875","0.015625","0.01171875","1112.888888888889","0.00014671191048692335","0","0.00014671191048692335","0.00014671191048692335","","","true"
"4","195.63672190174975","112.27239838212381","5.060698422890421","-0.306003311474314","0.03466796875","0.02587890625","0.04345703125","1112.888888888889","0.00025907225485349665","0","0.00025907225485349665","0.00025907225485349665","4_15:0.00658625592338824;4_3:0.007014577757209262;4_5:0.010462115562517638","4_15:586.6666666666666;4_3:586.6666666666666;4_5:586.6666666666666","true"
"5","135.39344911599463","262.5511906652247","5.223896503397681","-0.3034775234621872","0.021728515625","0.02880859375","0.0146484375","1112.888888888889","0.0009155463996633578","0","0.0009155463996633578","0.0009155463996633578","","","true"
"6","214.29177166529996","253.03161406417806","5.152072961792085","-0.3032552587522541","0.005859375","0.0078125","0.00390625","1112.888888888889","0.0001925359624960112","0","0.0001925359624960112","0.0001925359624960112","6_5:0.0146331877232318;6_7:0.011020778366953643","6_5:764.4444444444445;6_7:586.6666666666666","true"
"7","240.27760101787575","62.89659023188588","5.069773237981118","-0.3055637461842537","0.01171875","0.0126953125","0.0107421875","1112.888888888889","0.0004281621959786819","0","0.0004281621959786819","0.0004281621959786819","7_8:0.01676722871753844","7_8:586.6666666666666","true"
"8","261.2846256987018","195.9365769960889","5.020975966278804","-0.3064355548953642","0.018310546875","0.02392578125","0.0126953125","1112.888888888889","0.0005784509314408208","0","0.0005784509314408208","0.0005784509314408208","8_9:0.018516302403605467","8_9:586.6666666666666","true"
"9","130.8544766374267","153.76318154853516","5.083094643242378","-0.3057086541354031","0.00634765625","0.005859375","0.0068359375","1112.888888888889","0.0002190610495051412","0","0.0002190610495051412","0.0002190610495051412","","","true"
"10","264.64427303403056","277.9094555095945","5.13737015910809","-0.30474177837696725","0.030029296875","0.04833984375","0.01171875","1112.888888888889","0.00011030680138883276","0","0.00011030680138883276","0.00011030680138883276","10_9:0.006418824683644464","10_9:586.6666666666666","true"
"11","176.38466867850497","186.09554437385464","5.218224646665263","-0.30259693508626817","0.02392578125","0.017578125","0.0302734375","1112.888888888889","0.00021575718647396123","0","0.00021575718647396123","0.00021575718647396123","11_10:0.0062936721869630285;11_12:1","11_10:586.6666666666666;11_12:586.6666666666666","true"
"12","186.09902553153702","145.62747558397368","4.973572537609759","-0.3072729257409885","0.2470703125","0.091796875","0.40234375","1112.888888888889","0.0027331279610926557","0","0.0027331279610926557","0.0027331279610926557","","","true"
"13","258.8276101069132","142.4948816186885","5.2397210814101784","-0.30291321430492574","0.017578125","0.01953125","0.015625","1112.888888888889","0.00045147010587116615","0","0.00045147010587116615","0.00045147010587116615","13_12:1","13_12:586.6666666666666","true"
"14","258.1392757855507","235.41345886068515","5.108379391007904","-0.304471375823401","0.011962890625","0.0107421875","0.01318359375","1112.888888888889","0.00022170124600566678","0","0.00022170124600566678","0.00022170124600566678","","","true"
"15","256.4382740794187","209.8627572791651","5.149328256211325","-0.30471490986113353","0.01171875","0.01123046875","0.01220703125","1112.888888888889","0.00013593702413421948","0","0.00013593702413421948","0.00013593702413421948","15_22:0.0074046718413923185","15_22:586.6666666666666","true"
"16","190.57627018986983","430.2383746051142","5.137321414472226","-0.3040110298436432","0.024169921875","0.02685546875","0.021484375","1112.888888888889","0.00020119255919389423","0","0.00020119255919389423","0.00020119255919389423","16_8:0.010115109323354132","16_8:586.6666666666666","true"
"17","166.75761354174554","75.37517990649938","5.236956315310328","-0.3024153437826066","0.027099609375","0.03369140625","0.0205078125","1112.888888888889","0.00026387241716474075","0","0.00026387241716474075","0.00026387241716474075","17_12:1;17_30:0.007153176794524818","17_12:586.6666666666666;17_30:586.6666666666666","true"
"18","246.11257038639678","380.801297339339","5.206792464334917","-0.30362339649738446","0.04541015625","0.04296875","0.0478515625","1112.888888888889","0.00012342807935428386","0","0.00012342807935428386","0.00012342807935428386","18_19:0.003901915686926938;18_14:0.0036483291894687797","18_19:586.6666666666666;18_14:586.6666666666666","true"
"19","239.03154948887016","146.75407173574544","5.253847423353762","-0.3032966677387253","0.00732421875","0.00830078125","0.00634765625","1112.888888888889","0.0001947035142405122","0","0.0001947035142405122","0.0001947035142405122","19_20:0.0061038561991206275","19_20:586.6666666666666","true"
"20","179.44531505184878","143.29963655009036","5.15056056340806","-0.3032910534333064","0.056396484375","0.0625","0.05029296875","1112.888888888889","0.00027178610302908563","0","0.00027178610302908563","0.00027178610302908563","","","true"
"21","217.84643469383067","131.16438456244927","5.055755410921438","-0.30486901438587216","0.0732421875","0.07421875","0.072265625","1112.888888888889","0.0006072739441356742","0","0.0006072739441356742","0.0006072739441356742","21_20:1","21_20:586.6666666666666","true"
"22","151.18912590789424","144.69908532525776","5.316309067386712","-0.30167407110361866","0.02392578125","0.02001953125","0.02783203125","1112.888888888889","0.00022794782227460116","0","0.00022794782227460116","0.00022794782227460116","22_21:1;22_23:0.006963120323158822","22_21:586.6666666666666;22_23:586.6666666666666","true"
"23","247.53341424999562","132.71188595934834","5.103330212302921","-0.30524067809226957","0.009033203125","0.0087890625","0.00927734375","1112.888888888889","0.00019516539471178164","0","0.00019516539471178164","0.00019516539471178164","23_24:0.007338437114148166","23_24:586.6666666666666","true"
"24","227.95958914742528","299.17089413092896","5.161671047429803","-0.30381306878012354","0.01171875","0.01953125","0.00390625","1112.888888888889","0.00019256288603931965","0","0.00019256288603931965","0.00019256288603931965","24_25:0.007040238754401684","24_25:586.6666666666666","true"
"25","156.53018395305446","360.4000539200057","5.254219685759795","-0.30362612485615204","0.00830078125","0.01123046875","0.00537109375","1112.888888888889","0.00031851237109472197","0","0.00031851237109472197","0.00031851237109472197","25_26:0.006639544359209326","25_26:586.6666666666666","true"
"26","260.72056704151794","238.63324546060736","5.216328066639315","-0.30351598141421005","0.013671875","0.0166015625","0.0107421875","1112.888888888889","0.00017539320364487273","0","0.00017539320364487273","0.00017539320364487273","26_16:0.004633217288215641","26_16:586.6666666666666","true"
"27","138.81485156929247","34.35184075964926","5.303817966372842","-0.30155385474433327","0.021484375","0.02001953125","0.02294921875","1112.888888888889","0.00023764850162489047","0","0.00023764850162489047","0.00023764850162489047","27_26:0.007596920649260874","27_26:586.6666666666666","true"
"28","191.27914122974335","46.370496310708084","5.160227656538461","-0.3046551158328265","0.005859375","0.00634765625","0.00537109375","1112.888888888889","0.00032722565136295814","0","0.00032722565136295814","0.00032722565136295814","28_27:0.00904485287274076","28_27:586.6666666666666","true"
