"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","291.6669510457774","40.33425599841578","0.008544921875","0.00927734375","0.0078125","2584","0.00018461370058679374","0.00018461370058679374","0","0.00018461370058679374","0.00018461370058679374","0_1:0.002494944432859414","0_1:0.0020185158870038855","0_1:68","true"
"1","195.75545631740437","239.32267929840575","0.005126953125","0.009765625","0.00048828125","2584","0.00012248903557350306","0.00012248903557350306","0","0.00012248903557350306","0.00012248903557350306","1_2:0.001607623620220433;1_0:0.002494944432859414","1_2:0.0017596165580654466;1_0:0.0020185158870038855","1_2:68;1_0:68","true"
"2","306.8065766922678","318.8513705198025","0.002685546875","0.00537109375","0","2584","0.00010558693598748775","0.00010558693598748775","0","0.00010558693598748775","0.00010558693598748775","2_1:0.001607623620220433;2_3:0.00206741670006233","2_1:0.0017596165580654466;2_3:0.00179087527495278","2_1:68;2_3:68","true"
"3","254.35600864847686","264.7797231765476","0.00341796875","0.005859375","0.0009765625","2584","0.0001121430791088989","0.0001121430791088989","0","0.0001121430791088989","0.0001121430791088989","3_16:0.002667176474063726;3_2:0.00206741670006233;3_4:0.00387380702866974","3_16:0.0024851118520889393;3_2:0.00179087527495278;3_4:0.006319167029722406","3_16:68;3_2:68;3_4:80","true"
"4","202.9986849627986","107.51421929609278","0.00927734375","0.0146484375","0.00390625","2584","0.00020681342807889148","0.00020681342807889148","0","0.00020681342807889148","0.00020681342807889148","4_3:0.00387380702866974;4_5:0.00389552379705449","4_3:0.006319167029722406;4_5:0.002868241923668441","4_3:80;4_5:68","true"
"5","237.24912153219037","133.4019104708972","0.00830078125","0.0048828125","0.01171875","2584","0.00015903767482793372","0.00015903767482793372","0","0.00015903767482793372","0.00015903767482793372","5_6:0.0013707833055257579;5_4:0.00389552379705449","5_6:0.0018567660173456624;5_4:0.002868241923668441","5_6:68;5_4:68","true"
"6","302.8435886240547","173.59823364862675","0.005859375","0.0087890625","0.0029296875","2584","0.00039137142125612536","0.00039137142125612536","0","0.00039137142125612536","0.00039137142125612536","6_5:0.0013707833055257579;6_7:0.0018156330823138611","6_5:0.0018567660173456624;6_7:0.002303872451915462","6_5:68;6_7:68","true"
"7","288.08677611160414","66.66189275925537","0.00439453125","0.00732421875","0.00146484375","2584","0.00017455274082519214","0.00017455274082519214","0","0.00017455274082519214","0.00017455274082519214","7_17:0.0030601692675612524;7_6:0.0018156330823138611;7_8:0.002755069096433971","7_17:0.0032622004287283235;7_6:0.002303872451915462;7_8:0.004277435481906733","7_17:68;7_6:68;7_8:80","true"
"8","250.75901531093675","64.62924445326401","0.004150390625","0.005859375","0.00244140625","2584","0.0002825410142623999","0.0002825410142623999","0","0.0002825410142623999","0.0002825410142623999","8_9:0.0036899900803128993;8_7:0.002755069096433971","8_9:1;8_7:0.004277435481906733","8_9:68;8_7:80","true"
"9","138.33513615618577","106.19096737523203","0.00927734375","0.01318359375","0.00537109375","2584","0.0002822234256017925","0.0002822234256017925","0","0.0002822234256017925","0.0002822234256017925","9_8:0.0036899900803128993;9_10:0.0028097160523334885","9_8:1;9_10:0.0020824236072756463","9_8:68;9_10:68","true"
