"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","265.68550708282027","67.12223471233311","4.786062641640626","-0.2852566341849986","0.053955078125","0.0380859375","0.06982421875","835.5555555555555","0.00031387002553971314","0","0.00031387002553971314","0.00031387002553971314","","","true"
"1","375.36409745400385","321.42397809466587","4.834502018941956","-0.3106941478695178","0.009521484375","0.01123046875","0.0078125","835.5555555555555","0.0005290907462318306","0","0.0005290907462318306","0.0005290907462318306","1_0:0.00993308914342611","1_0:593.7777777777777","true"
"2","323.31933676360626","294.9785927962286","4.713412176620125","-0.3126886766479872","0.01416015625","0.01611328125","0.01220703125","835.5555555555555","0.0004268634686991644","0","0.0004268634686991644","0.0004268634686991644","2_1:0.015650995121354982","2_1:593.7777777777777","true"
"3","245.0502782337767","335.24878968965515","4.859017128805669","-0.31034359454113686","0.00634765625","0.00634765625","0.00634765625","835.5555555555555","0.00016839257946222485","0","0.00016839257946222485","0.00016839257946222485","3_2:0.016820215804920824;3_4:0.003984135692541246","3_2:593.7777777777777;3_4:593.7777777777777","true"
"4","394.40351851261386","443.6263825438922","4.801220758098799","-0.3111189159174216","0.010009765625","0.01220703125","0.0078125","835.5555555555555","0.00016397107241648945","0","0.00016397107241648945","0.00016397107241648945","4_15:1","4_15:593.7777777777777","true"
"5","292.4980399428754","295.7819485946534","4.900555974660968","-0.30882064699882933","0.021240234375","0.021484375","0.02099609375","835.5555555555555","0.00014919676025768505","0","0.00014919676025768505","0.00014919676025768505","5_4:0.004208182659512949;5_6:0.00985126937799563","5_4:593.7777777777777;5_6:593.7777777777777","true"
"6","256.6587391777394","23.407252218140698","4.947832670976373","-0.307623639937622","0.025390625","0.02392578125","0.02685546875","835.5555555555555","0.0007198128247385587","0","0.0007198128247385587","0.0007198128247385587","6_7:0.007056915723613111","6_7:593.7777777777777","true"
"7","388.0259327750121","157.35882894257014","4.828750871772973","-0.3105046772851977","0.025634765625","0.00146484375","0.0498046875","835.5555555555555","0.00020910697695464584","0","0.00020910697695464584","0.00020910697695464584","7_8:0.006730636925383893","7_8:593.7777777777777","true"
"8","485.8773297200406","64.80522018569219","4.744827172494175","-0.3114301472923753","0.00927734375","0.00634765625","0.01220703125","835.5555555555555","0.00017797395353552032","0","0.00017797395353552032","0.00017797395353552032","8_16:0.004922411718228326","8_16:593.7777777777777","true"
"9","546.0405807638333","32.6301760202906","4.8333725108907535","-0.3104450030412055","0.01904296875","0.02490234375","0.01318359375","835.5555555555555","0.0002033294957425913","0","0.0002033294957425913","0.0002033294957425913","9_8:0.00580191045556;9_10:0.00543756785943289","9_8:593.7777777777777;9_10:593.7777777777777","true"
