"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","351.97034803520046","303.69816231911443","4.831736913338946","-0.30860091520604865","0.00732421875","0.0078125","0.0068359375","1600","0.00015182667556329086","0","0.00015182667556329086","0.00015182667556329086","0_14:0.006722327061080169","0_14:660","true"
"1","544.1077028853149","99.02533386042268","4.735944997648278","-0.3106735526140353","0.167724609375","0.09033203125","0.2451171875","1600","0.000322920560108532","0","0.000322920560108532","0.000322920560108532","1_0:0.005270909563820425","1_0:660","true"
"2","104.23828616776086","72.44424424399288","4.860551813405066","-0.30815586785193605","0.049072265625","0.03466796875","0.0634765625","1600","0.0003470901617125914","0","0.0003470901617125914","0.0003470901617125914","2_1:0.009983033261393937;2_3:0.008431815569736212","2_1:660;2_3:660","true"
"3","286.2753616714036","106.30994477845431","4.6806712058846145","-0.3117956042789839","0.025146484375","0.02001953125","0.0302734375","1600","0.00022285421266956463","0","0.00022285421266956463","0.00022285421266956463","3_4:0.01428925012532617","3_4:660","true"
"4","564.4830346230697","260.745989891796","4.846763684838109","-0.3089581979409952","0.006103515625","0.001953125","0.01025390625","1600","0.00011853531117168201","0","0.00011853531117168201","0.00011853531117168201","4_5:0.003663298811817095","4_5:660","true"
"5","313.1732359723958","196.99936598050306","4.718029135620768","-0.310577093532681","0.011474609375","0.00390625","0.01904296875","1600","0.0001748258439447309","0","0.0001748258439447309","0.0001748258439447309","","","true"
"6","522.0980030907626","289.9259396772323","4.636764922703701","-0.3106205490386331","0.01416015625","0.0126953125","0.015625","1600","0.00012287142586938217","0","0.00012287142586938217","0.00012287142586938217","6_5:0.00437641263572508;6_7:0.0040140243928163954","6_5:660;6_7:660","true"
"7","416.93064660262553","68.40429893066461","4.755467016509476","-0.30909078313021016","0.011962890625","0.0087890625","0.01513671875","1600","0.00015923073424790638","0","0.00015923073424790638","0.00015923073424790638","7_8:0.006368650411538834","7_8:660","true"
"8","444.6995187535224","38.41425869774666","4.849635196459037","-0.3089940151149966","0.0576171875","0.06005859375","0.05517578125","1600","0.0001628440877347018","0","0.0001628440877347018","0.0001628440877347018","8_16:0.007573111759381912","8_16:660","true"
"9","758.2278753120352","36.2146577567608","4.593735384811209","-0.31335701694782153","0.052490234375","0.04052734375","0.064453125","1600","0.00022019298041089333","0","0.00022019298041089333","0.00022019298041089333","9_8:0.013634733411232669;9_10:0.008235928398007297","9_8:660;9_10:660","true"
"10","132.423706650032","296.1617807568992","4.723804259216739","-0.31036231695754807","0.025634765625","0.01318359375","0.0380859375","1600","0.00046466607620864646","0","0.00046466607620864646","0.00046466607620864646","","","true"
"11","111.86331411029057","65.04466160066389","4.622502173350613","-0.3054330870259268","0.05126953125","0.02001953125","0.08251953125","1600","0.0003493005644597797","0","0.0003493005644597797","0.0003493005644597797","11_10:0.011821220447819969","11_10:660","true"
